id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,region,source,track_id
1,Ruby,Ali Farka Touré,desert blues,melancholic,0.31,178,0.41,0.36,0.80,Mali,artist-allowlist,37IbDeC2CfODD3OGcAO8Vd
2,Ai Du (with Ry Cooder),Ali Farka Touré,desert blues,melancholic,0.23,152,0.41,0.57,0.31,Mali,artist-allowlist,5ksSzUpY892Gga1BlDN9ey
3,Monsieur le Maire de Niafunké,Ali Farka Touré,desert blues,melancholic,0.43,100,0.38,0.59,0.80,Mali,artist-allowlist,0504BmZ0EdVRO4faj6q0Yc
4,Ilbiwa,Amadou & Mariam,mande,intense,0.70,96,0.32,0.60,0.49,Mali,artist-allowlist,29W0nW0risI95kRkHsoZai
5,Poulo,Amadou & Mariam,mande,celebratory,0.88,119,0.70,0.66,0.12,Mali,artist-allowlist,7I08CGz9GMcbXcJ4G0IU04
6,Beki Miri,Amadou & Mariam,mande,celebratory,0.68,174,0.70,0.60,0.20,Mali,artist-allowlist,2vruwVOlDYYftyt7v2QddO
7,Ömrümün Sonbaharında,Barış Manço,anatolian rock,melancholic,0.25,72,0.35,0.53,0.83,Turkey,artist-allowlist,6wRBr1VICJv3quodxRYYhT
8,Kol Düğmeleri,Barış Manço,anatolian rock,melancholic,0.19,78,0.17,0.26,0.76,Turkey,artist-allowlist,4DsjiElZzrVRJZv1nFoqV8
9,İşte Hendek İşte Deve,Barış Manço,anatolian rock,celebratory,0.83,93,0.78,0.68,0.22,Turkey,artist-allowlist,0UY3deGYcjFNhWFfXvIaTM
10,Drive - Edit,Black Coffee,south african house,intense,0.79,118,0.43,0.72,0.00,South Africa,artist-allowlist,3XsNRi2cypsksscysYbyaF
11,Turn Me On,Black Coffee,south african house,celebratory,0.78,123,0.57,0.79,0.00,South Africa,artist-allowlist,7aUlBqAHppttybHHYrefZk
12,Never Gonna Forget (with Diplo feat. Elderbrook),Black Coffee,south african house,intense,0.68,120,0.46,0.69,0.04,South Africa,artist-allowlist,0JqY1VDNn7p92rsvUGs6m1
13,Three Little Birds,Bob Marley & The Wailers,reggae,warm,0.49,74,0.63,0.83,0.01,Jamaica,artist-allowlist,75FYqcxt1YEAtqDLrOeIJn
14,Could You Be Loved,Bob Marley & The Wailers,reggae,celebratory,0.72,103,0.76,0.92,0.36,Jamaica,artist-allowlist,5O4erNlJ74PIF6kGol1ZrC
15,Is This Love,Bob Marley & The Wailers,reggae,warm,0.56,122,0.76,0.78,0.11,Jamaica,artist-allowlist,6JRLFiX9NJSoRRKxowlBYr
16,For My Hand (feat. Ed Sheeran),Burna Boy,afrobeats,warm,0.48,104,0.72,0.87,0.16,Nigeria,artist-allowlist,0HaRLPnr887lcQM2YQzkff
17,It's Plenty,Burna Boy,afrobeats,warm,0.56,107,0.53,0.78,0.36,Nigeria,artist-allowlist,5hVjoL3sHepZROri63wBxP
18,Gbona,Burna Boy,afrobeats,celebratory,0.81,94,0.94,0.80,0.56,Nigeria,artist-allowlist,7rpWDu9GPlLxbLorYKVys7
